Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"Bosch TWK8631GB Styline Collection Kettle, 1.5 L - White/Silver
TemperatureControl within the base with four different settings for different drinks (100°C/90°C/80°C/70°C)
KeepWarm Function: Keeps the selected temperature for up to 30 minutes
Double-walled stainless steel housing for convenience, safety & Cool Touch
Stainless steel interior base with concealed heating element for less limescale build up
Anti slip 'soft touch' handle
Brand Bosch
Model Number TWK8631GB
Colour White
Product Dimensions 21 x 17.5 x 26.3 cm; 1.6 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240
Material Stainless Steel, Plastic
Auto Shutoff Yes
Energy Efficiency Class A+ to F
Special Features Adjustable Temperature, Cool Wall, Boil Dry Protection, Cordless, Keep Warm Function, Concealed Heating
Item Weight 1.6 kg
","Bosch TWK8631GB Styline Collection Kettle, 1.5 L - White/Silver
TemperatureControl within the base with four different settings for different drinks (100°C/90°C/80°C/70°C)
KeepWarm Function: Keeps the selected temperature for up to 30 minutes
Double-walled stainless steel housing for convenience, safety & Cool Touch
Stainless steel interior base with concealed heating element for less limescale build up
Anti slip 'soft touch' handle
","Brand Bosch
Model Number TWK8631GB
Colour White
Product Dimensions 21 x 17.5 x 26.3 cm; 1.6 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240
Material Stainless Steel, Plastic
Auto Shutoff Yes
Energy Efficiency Class A+ to F
Special Features Adjustable Temperature, Cool Wall, Boil Dry Protection, Cordless, Keep Warm Function, Concealed Heating
Item Weight 1.6 kg
",metal,white,1.6kg,1.5L,21,17.5,26.3,handle
"Daewoo Scandia 1.7L Stainless Steel Kettle (2500-3000W Power Output) Rapid Quiet Boil and Removable Washable Limescale Filter, 360º Rotational Base and Handy Cord Storage- Black
LARGE CAPACITY- The large 1.7L capacity will fill roughly 7 cups of water on a full boil - perfect for entertaining large groups.
RAPID BOIL- Our Scandia kettle has been designed with speed in mind - with the rapid boil feature you can enjoy a hot beverage in no time - This kettle 2500-3000w of power.
REMOVABLE WASHABLE FILTER- Simply take out the limescale filrer which makes cleaning your kettle quick and easy, rinse in hot water.
AUTOMATIC SWITCH OFF FEATURE- Save energy and stay safe with our Automatic switch off feature - this kettle shows when in use with an LED indicator.
FULLY ROTATIONAL BASE- This kettle is fully rotational with a handy cordless base, with 360 degree rotation for easy use - Keep your kitchen surface tidy by using the cord storage aspect.
Brand Daewoo
Model Number SDA1947
Colour Black Kettle
Package Dimensions 24.1 x 20.5 x 18.9 cm; 1.22 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Item Weight 1.22 kg
","Daewoo Scandia 1.7L Stainless Steel Kettle (2500-3000W Power Output) Rapid Quiet Boil and Removable Washable Limescale Filter, 360º Rotational Base and Handy Cord Storage- Black
LARGE CAPACITY- The large 1.7L capacity will fill roughly 7 cups of water on a full boil - perfect for entertaining large groups.
RAPID BOIL- Our Scandia kettle has been designed with speed in mind - with the rapid boil feature you can enjoy a hot beverage in no time - This kettle 2500-3000w of power.
REMOVABLE WASHABLE FILTER- Simply take out the limescale filrer which makes cleaning your kettle quick and easy, rinse in hot water.
AUTOMATIC SWITCH OFF FEATURE- Save energy and stay safe with our Automatic switch off feature - this kettle shows when in use with an LED indicator.
FULLY ROTATIONAL BASE- This kettle is fully rotational with a handy cordless base, with 360 degree rotation for easy use - Keep your kitchen surface tidy by using the cord storage aspect.
","Brand Daewoo
Model Number SDA1947
Colour Black Kettle
Package Dimensions 24.1 x 20.5 x 18.9 cm; 1.22 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Item Weight 1.22 kg
",metal,black,1.22kg,1.7L,24.2,20.5,19.3,cup;filter;led
"Progress EK3865PBLK Ombre Stainless Steel Kettle, 1.7 L, 3000 W, Rapid Boil, Anti-Limescale Filter, Boil-Dry Sensor, Black
From the Progress Ombre Collection, enjoy hot teas and warming coffees with this 1.7 L Kettle, a perfect addition to any modern home.
With 3000 W power, create the perfect amount of drinks with the easy-view water window so you can boil the exact amount needed.
Featuring a concealed heating element, the kettle has been specially designed to boil fast, great for making a quick morning drink.
Measuring a compact 21.2 l x 15.2 w x 24.1 h cm, the kettle can fit comfortably anywhere in the kitchen with a cord length of 70 cm.
Combining functionality with style, it will look great in any kitchen, boasting a modern ombre design with a stainless steel body.
Brand PROGRESS
Model Number EK3865PBLK
Colour Black
Product Dimensions 21.2 x 15.2 x 24.1 cm; 1.14 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Item Weight 1.14 kg
","Progress EK3865PBLK Ombre Stainless Steel Kettle, 1.7 L, 3000 W, Rapid Boil, Anti-Limescale Filter, Boil-Dry Sensor, Black
From the Progress Ombre Collection, enjoy hot teas and warming coffees with this 1.7 L Kettle, a perfect addition to any modern home.
With 3000 W power, create the perfect amount of drinks with the easy-view water window so you can boil the exact amount needed.
Featuring a concealed heating element, the kettle has been specially designed to boil fast, great for making a quick morning drink.
Measuring a compact 21.2 l x 15.2 w x 24.1 h cm, the kettle can fit comfortably anywhere in the kitchen with a cord length of 70 cm.
Combining functionality with style, it will look great in any kitchen, boasting a modern ombre design with a stainless steel body.
","Brand PROGRESS
Model Number EK3865PBLK
Colour Black
Product Dimensions 21.2 x 15.2 x 24.1 cm; 1.14 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Item Weight 1.14 kg
",metal,black,1.14kg,1.7L,21.2,15.2,24.1,filter
"Swan SK31040BN Retro Kettle with Temperature Dial, 360 Degree Rotational Base, 3000 W, 1.5 liters, Black
Generous 1.5 litre capacity meaning you can get more than 6 cups out of just one boil, plenty of water for making yourself, your partner and the rest of a family a nice hot drink and ensuring you’re always prepared for unexpected guests. Ideal for domestic kitchens small and large, those who prefer a more classic retro style, cafes, diners, hotels, guest houses, offices and staff rooms. It also makes the perfect gift for newlyweds, new homeowners or students moving into student accommodation.
Its cordless design means it’s easy to use and carry about without being restricted, great for topping up someone’s drink or if you need to add hot water to your cooking. The 360-degree rotational base also makes it the ideal for both left and right-handed users.
3KW concealed heating element allows for safety and optimum efficiency with fast boil technology, you don’t have to wait round for that hot cup of coffee in the morning. With an automatic cut out and boil dry protection to ensure safety when in use.
The sturdy handle and specially designed spout allow for easy pouring with no drips or spills. With a see-through measuring gauge on the side, you can measure exactly how much water you need for energy efficient boiling. The eye-catching external temperature dial also allows you to adjust the temperature when it comes to preparing delicate teas which can sometimes require a lower temperature, or for making cooler drinks for little ones.
The Swan Retro Range delivers that classic retro feel to your home with a whole range of colours to suit any kitchen. Made with a robust stainless-steel body in black with chrome effect finishes, this kettle makes a stylish addition to anyone’s kitchen.
Comes with a 2-year warranty.
Brand Swan
Model Number SK31040BN
Colour Black
Product Dimensions 22.1 x 17.4 x 24.7 cm; 1.33 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil_Dry_Protection, Concealed_Heating, External Temperature Gauge, Cordless, 3000 Watt Rapid Boil
Item Weight 1.33 kg
","Swan SK31040BN Retro Kettle with Temperature Dial, 360 Degree Rotational Base, 3000 W, 1.5 liters, Black
Generous 1.5 litre capacity meaning you can get more than 6 cups out of just one boil, plenty of water for making yourself, your partner and the rest of a family a nice hot drink and ensuring you’re always prepared for unexpected guests. Ideal for domestic kitchens small and large, those who prefer a more classic retro style, cafes, diners, hotels, guest houses, offices and staff rooms. It also makes the perfect gift for newlyweds, new homeowners or students moving into student accommodation.
Its cordless design means it’s easy to use and carry about without being restricted, great for topping up someone’s drink or if you need to add hot water to your cooking. The 360-degree rotational base also makes it the ideal for both left and right-handed users.
3KW concealed heating element allows for safety and optimum efficiency with fast boil technology, you don’t have to wait round for that hot cup of coffee in the morning. With an automatic cut out and boil dry protection to ensure safety when in use.
The sturdy handle and specially designed spout allow for easy pouring with no drips or spills. With a see-through measuring gauge on the side, you can measure exactly how much water you need for energy efficient boiling. The eye-catching external temperature dial also allows you to adjust the temperature when it comes to preparing delicate teas which can sometimes require a lower temperature, or for making cooler drinks for little ones.
The Swan Retro Range delivers that classic retro feel to your home with a whole range of colours to suit any kitchen. Made with a robust stainless-steel body in black with chrome effect finishes, this kettle makes a stylish addition to anyone’s kitchen.
Comes with a 2-year warranty.
","Brand Swan
Model Number SK31040BN
Colour Black
Product Dimensions 22.1 x 17.4 x 24.7 cm; 1.33 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil_Dry_Protection, Concealed_Heating, External Temperature Gauge, Cordless, 3000 Watt Rapid Boil
Item Weight 1.33 kg
",metal,black,1.33kg,1.5L,22.1,17.4,24.7,handle;cup
"Swan SK18121REDN Jug Kettle, Cordless Design, 1.7L, 2.2Kw, Red
1.7 litre capacity – this swan jug kettle comes with a generous 1.7 litre capacity, meaning that you can boil enough water for up to 8 cups of tea, coffee, or hot chocolate at once, perfect for busy households, offices, staffrooms, or unexpected guests.
Rapid quiet boil & easy filling – comes with an impressive 1850-2200w heating element allowing for a rapid boil which is also incredibly quiet, so the water for your cuppa will be boiled in no time without disturbing anyone. The locking hinged lid and transparent water gauge also make for easy and convenient filling
Ensures your safety – with boil dry protection and automatic shut off this kettle isn’t lacking in the safety stakes. A cool-touch handle ensures no heat is transferred to your hands when pouring
Cordless operation – allowing for maximum manoeuvrability, this kettle can easily be moved around the kitchen or office, perfect for refilling cups or for adding water to dishes when cooking
Removable filter – Comes with a removable, washable filter to prevent limescale build up and ensuring a clean, fresh taste with every pour
Brand Swan
Model Number SK18121REDN
Colour Red
Product Dimensions 13 x 22 x 25.5 cm; 820 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Special Features Removable filter, Cordless
Item Weight 820 g
","Swan SK18121REDN Jug Kettle, Cordless Design, 1.7L, 2.2Kw, Red
1.7 litre capacity – this swan jug kettle comes with a generous 1.7 litre capacity, meaning that you can boil enough water for up to 8 cups of tea, coffee, or hot chocolate at once, perfect for busy households, offices, staffrooms, or unexpected guests.
Rapid quiet boil & easy filling – comes with an impressive 1850-2200w heating element allowing for a rapid boil which is also incredibly quiet, so the water for your cuppa will be boiled in no time without disturbing anyone. The locking hinged lid and transparent water gauge also make for easy and convenient filling
Ensures your safety – with boil dry protection and automatic shut off this kettle isn’t lacking in the safety stakes. A cool-touch handle ensures no heat is transferred to your hands when pouring
Cordless operation – allowing for maximum manoeuvrability, this kettle can easily be moved around the kitchen or office, perfect for refilling cups or for adding water to dishes when cooking
Removable filter – Comes with a removable, washable filter to prevent limescale build up and ensuring a clean, fresh taste with every pour
","Brand Swan
Model Number SK18121REDN
Colour Red
Product Dimensions 13 x 22 x 25.5 cm; 820 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Special Features Removable filter, Cordless
Item Weight 820 g
",other,red,820g,1.7L,13,22,25.5,lid;handle;cup;lock;filter
"Duronic Electric Kettle EK30 BK | 3KW Variable Temperature Control | BLACK | 1.5L Fast Boil 3000W Eco Kettle | Keep Warm Function | Energy Efficient | Insulated Cool Touch | Cordless 360 Base
ECO-FRIENDLY FAST BOIL: Not all tea and coffee drinks require water at the highest temperature of 100°c, however with a standard kettle you have no choice but to boil your water to the higher temperature (using more power) and then have to either make your drink with water that destroys the taste of the cup and also wastes power unnecessarily. With the EK30 kettle you can boil water to the temperature you need, saving you time and money at the same time.
VARIABLE TEMPERATURE CONTROL: Easy to reach buttons on the handle of this kettle allow you to alter the temperature of the water you want to heat. Choose from 40°c, 60°c, 90°c or 100°c depending on what beverage you are making. 40°c is ideal for Lemsips and hot water bottles, 60°c is for unique coffees, 80°c is ideal for tea and coffee, and 100°c is for black tea and other herbal teas.
KEEP WARM FUNCTION: Another great function of this Duronic water boiler is that after heating your water you can press the Keep Warm button to keep the water in the kettle at the same hot temperature for up to 30 minutes. This is perfect if you usually like to go for second drink after your first one, of if you know someone else will want a hot drink shortly after you.
CORDLESS DESIGN WITH ADDED SAFETY FEATURES: For safety and convenience reasons we have designed this kettle to be cordless and have a 360° base which enables you to lift the kettle from any direction you wish making it idea for both left-handed and right-handed users. Additional safety features include auto shut-off and boil dry protection.
FEATURES AND SPECIFICATIONS: Cordless design. Quiet operation compared to other kettles on the market. Easy lift lid. Temperature settings 40-100°c. Visible transparent window to show indication of the water level. Concealed heating element. Notification beep lets you know when the kettle is finished heating. Strong stainless-steel spout filter. Easy to clean and descale. Power: 2500W-3000W. Jug capacity: 0.5L – 1.5L. Size: 26cm x 14.5cm (23cm with handle).
Brand Duronic
Model Number EK30BK
Colour Black
Product Dimensions 23 x 14.5 x 26 cm; 1 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Material Plastic and Stainless Steel
Auto Shutoff Yes
Special Features <p>✅ 3000W power</p> <p>✅ Adjustable temperature</p> <p>✅ 1.5 litre capacity</p> <p>✅ Keep-warm function</p> <p>✅ Ergonomic with easy-lift lid</p> <p>✅ 0.5L, 0.75L, 1L, 1.25L and 1.5L markings for easy filling</p> <p>✅ fast boil</p> <p>✅ 360 degree rotation</p>
Item Weight 1 kg
","Duronic Electric Kettle EK30 BK | 3KW Variable Temperature Control | BLACK | 1.5L Fast Boil 3000W Eco Kettle | Keep Warm Function | Energy Efficient | Insulated Cool Touch | Cordless 360 Base
ECO-FRIENDLY FAST BOIL: Not all tea and coffee drinks require water at the highest temperature of 100°c, however with a standard kettle you have no choice but to boil your water to the higher temperature (using more power) and then have to either make your drink with water that destroys the taste of the cup and also wastes power unnecessarily. With the EK30 kettle you can boil water to the temperature you need, saving you time and money at the same time.
VARIABLE TEMPERATURE CONTROL: Easy to reach buttons on the handle of this kettle allow you to alter the temperature of the water you want to heat. Choose from 40°c, 60°c, 90°c or 100°c depending on what beverage you are making. 40°c is ideal for Lemsips and hot water bottles, 60°c is for unique coffees, 80°c is ideal for tea and coffee, and 100°c is for black tea and other herbal teas.
KEEP WARM FUNCTION: Another great function of this Duronic water boiler is that after heating your water you can press the Keep Warm button to keep the water in the kettle at the same hot temperature for up to 30 minutes. This is perfect if you usually like to go for second drink after your first one, of if you know someone else will want a hot drink shortly after you.
CORDLESS DESIGN WITH ADDED SAFETY FEATURES: For safety and convenience reasons we have designed this kettle to be cordless and have a 360° base which enables you to lift the kettle from any direction you wish making it idea for both left-handed and right-handed users. Additional safety features include auto shut-off and boil dry protection.
FEATURES AND SPECIFICATIONS: Cordless design. Quiet operation compared to other kettles on the market. Easy lift lid. Temperature settings 40-100°c. Visible transparent window to show indication of the water level. Concealed heating element. Notification beep lets you know when the kettle is finished heating. Strong stainless-steel spout filter. Easy to clean and descale. Power: 2500W-3000W. Jug capacity: 0.5L – 1.5L. Size: 26cm x 14.5cm (23cm with handle).
","Brand Duronic
Model Number EK30BK
Colour Black
Product Dimensions 23 x 14.5 x 26 cm; 1 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Material Plastic and Stainless Steel
Auto Shutoff Yes
Special Features <p>✅ 3000W power</p> <p>✅ Adjustable temperature</p> <p>✅ 1.5 litre capacity</p> <p>✅ Keep-warm function</p> <p>✅ Ergonomic with easy-lift lid</p> <p>✅ 0.5L, 0.75L, 1L, 1.25L and 1.5L markings for easy filling</p> <p>✅ fast boil</p> <p>✅ 360 degree rotation</p>
Item Weight 1 kg
",metal,black,1.0kg,1.5L,23,14.5,26,lid;handle;cup;filter
"LIVIVO Sirius Electric Kettle Fast Boil Jug Hot Water Dispenser with Thermometer/Temperature Dial 3000W 1.7L BPA Free 360° Swivel Base Kitchen – White Retro Style
RETRO KETTLE: LIVIVO Retro Kettle boils water within 2-5 minutes, 5mins to boil a full pot (1.7L), 0.5L for just 2 mins. Effectively saves more energy. 1.7L Large capacity makes enough water for 6-7 people, perfect match for coffee, tea, pasta, oatmeal etc.
FAST BOILING MECHANISM: This LIVIVO kettle is built with faster heating tech that allows it to boil 1.7L water in 5mins or 40sec for 1 cup of water. No waiting, no energy waste.
N BUILT TEMPERATURE DIAL: The built in thermometer on the front of the kettle shows the temperature of water inside the dispenser, making it easy to stop boiling at the perfect moment.
SWIVEL BASE: 360-Degree Swivel Base is a top quality professional kettle for use in all types of places and is designed to give outstanding performance day after day. The mode kettle has a handy 360 degrees base so it can be comfortably used by right and left-handed people and to keep your worktop clutter-free
WASHABLE FILTER: There is a removable, washable filter to keep your kettle and water clean and free from bits. It sits inside the easy pour spout and can be easily taken out, rinsed under the tap, and replaced.
Brand LIVIVO
Colour White
Volume Capacity 1.7 litres
","LIVIVO Sirius Electric Kettle Fast Boil Jug Hot Water Dispenser with Thermometer/Temperature Dial 3000W 1.7L BPA Free 360° Swivel Base Kitchen – White Retro Style
RETRO KETTLE: LIVIVO Retro Kettle boils water within 2-5 minutes, 5mins to boil a full pot (1.7L), 0.5L for just 2 mins. Effectively saves more energy. 1.7L Large capacity makes enough water for 6-7 people, perfect match for coffee, tea, pasta, oatmeal etc.
FAST BOILING MECHANISM: This LIVIVO kettle is built with faster heating tech that allows it to boil 1.7L water in 5mins or 40sec for 1 cup of water. No waiting, no energy waste.
N BUILT TEMPERATURE DIAL: The built in thermometer on the front of the kettle shows the temperature of water inside the dispenser, making it easy to stop boiling at the perfect moment.
SWIVEL BASE: 360-Degree Swivel Base is a top quality professional kettle for use in all types of places and is designed to give outstanding performance day after day. The mode kettle has a handy 360 degrees base so it can be comfortably used by right and left-handed people and to keep your worktop clutter-free
WASHABLE FILTER: There is a removable, washable filter to keep your kettle and water clean and free from bits. It sits inside the easy pour spout and can be easily taken out, rinsed under the tap, and replaced.
","Brand LIVIVO
Colour White
Volume Capacity 1.7 litres
",other,white,other,1.7L,other,other,other,cup;filter
"ANSIO Kettle, Electric Kettle 3000W 1.7L Cordless, Stainless Steel Kettle, Boil Dry Protection & Auto Shut Off, Strix Controller
360° rotational cordless electric kettle for ease of use. Made from 304-food grade stainless steel.
3000 Watts kettle with 1.7 litre capacity. Inbuilt thermostat and strix controller to ensure precise temperature control while assuring safety. Equipped with power indicator blue light that lights up while boiling.
Auto shut-off to turn the kettle off automatically when the water is boiled & boil dry protection feature to avoid dry boiling when the water level is too low, to ensure safety and save power.
Two easy to-view external water level windows and an ideal mouth size for easy cleaning. Removable and washable filter for ease of use. Automatic lid opening at the press of a button.
We strive to ensure that our customers are completely satisfied with their purchase. We request that you kindly contact us if you have queries.
Brand ANSIO
Colour Stainless Steel - Silver
Package Dimensions 25.15 x 21.84 x 16.51 cm; 1.38 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil Dry Protection, Cordless
Item Weight 1.38 kg
","ANSIO Kettle, Electric Kettle 3000W 1.7L Cordless, Stainless Steel Kettle, Boil Dry Protection & Auto Shut Off, Strix Controller
360° rotational cordless electric kettle for ease of use. Made from 304-food grade stainless steel.
3000 Watts kettle with 1.7 litre capacity. Inbuilt thermostat and strix controller to ensure precise temperature control while assuring safety. Equipped with power indicator blue light that lights up while boiling.
Auto shut-off to turn the kettle off automatically when the water is boiled & boil dry protection feature to avoid dry boiling when the water level is too low, to ensure safety and save power.
Two easy to-view external water level windows and an ideal mouth size for easy cleaning. Removable and washable filter for ease of use. Automatic lid opening at the press of a button.
We strive to ensure that our customers are completely satisfied with their purchase. We request that you kindly contact us if you have queries.
","Brand ANSIO
Colour Stainless Steel - Silver
Package Dimensions 25.15 x 21.84 x 16.51 cm; 1.38 Kilograms
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Boil Dry Protection, Cordless
Item Weight 1.38 kg
",metal,silver,1.38kg,1.7L,25.15,21.84,16.51,lid;filter
"Tower Bottega T10020WMRG Rapid Boil Traditional Kettle with Temperature Dial, Boil Dry Protection, Automatic Shut Off, Quiet, Stainless Steel, 3000 W, 1.7 Litre, Marble and Rose Gold
3kW heating element provides a rapid boiling time
1.7 litre capacity makes up to 7 cups from one fill
Quiet boil technology keeps noise to a minimum
360 degree swivel base with unique temperature dial
Part of the white marble and rose gold range
Comes with 1 year guarantee, get extended 2 years warranty upon registration
Brand Tower
Model Number T10023W
Colour Marble and Rose Gold
Product Dimensions 24 x 18.5 x 29.3 cm; 1.76 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Temperature dial, Boil dry protection, Automatic switch off, Quiet boil, 360 degree swivel base
Item Weight 1.76 kg
","Tower Bottega T10020WMRG Rapid Boil Traditional Kettle with Temperature Dial, Boil Dry Protection, Automatic Shut Off, Quiet, Stainless Steel, 3000 W, 1.7 Litre, Marble and Rose Gold
3kW heating element provides a rapid boiling time
1.7 litre capacity makes up to 7 cups from one fill
Quiet boil technology keeps noise to a minimum
360 degree swivel base with unique temperature dial
Part of the white marble and rose gold range
Comes with 1 year guarantee, get extended 2 years warranty upon registration
","Brand Tower
Model Number T10023W
Colour Marble and Rose Gold
Product Dimensions 24 x 18.5 x 29.3 cm; 1.76 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Temperature dial, Boil dry protection, Automatic switch off, Quiet boil, 360 degree swivel base
Item Weight 1.76 kg
",metal,gold,1.76kg,1.7L,24,18.5,29.3,cup
"Progress EK3437P 1.7 L Plastic Kettle with Soft Grip Handle & Easy View Window, 2200 W, Boil Dry Sensor & Auto Shut Off, White
The easy to use kettle has a soft touch handle for easy grip and two observation windows with water level indicators, ideal for all.
A generous 1.7 litre capacity and impressive 2200 W power means you can save time and make hot drinks for all the family in one boil.
The boil-dry sensor with auto shut-off along with the removable and washable limescale filter will ensure long lasting performance.
Measuring a great size of 21.9 l x 13.5 w x 25.1 h cm and offering a handy cordless design, the minimalistic device suits any décor
Offering a no fuss design and functionality, simply fill up, switch on using the on/off switch with indicator light and wait to boil.
Brand PROGRESS
Model Number EK3437P
Colour White
Product Dimensions 21.85 x 13.5 x 25.1 cm; 920 Grams
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Item Weight 920 g
","Progress EK3437P 1.7 L Plastic Kettle with Soft Grip Handle & Easy View Window, 2200 W, Boil Dry Sensor & Auto Shut Off, White
The easy to use kettle has a soft touch handle for easy grip and two observation windows with water level indicators, ideal for all.
A generous 1.7 litre capacity and impressive 2200 W power means you can save time and make hot drinks for all the family in one boil.
The boil-dry sensor with auto shut-off along with the removable and washable limescale filter will ensure long lasting performance.
Measuring a great size of 21.9 l x 13.5 w x 25.1 h cm and offering a handy cordless design, the minimalistic device suits any décor
Offering a no fuss design and functionality, simply fill up, switch on using the on/off switch with indicator light and wait to boil.
","Brand PROGRESS
Model Number EK3437P
Colour White
Product Dimensions 21.85 x 13.5 x 25.1 cm; 920 Grams
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Item Weight 920 g
",plastic,white,920g,1.7L,21.8,13.5,25.1,handle;filter
"Morphy Richards Jug Kettle Evoke Jug Kettle 104407 Electric Kettle Cream
Large 1.5L capacity, so you can make up to 6 drinks at a time
Anti limescale kettle filter to ensure a quality hot drink
3kW kettle element for rapid boil with 360° base for left and right hand use
Cord storage feature to keep your worktop safe and neat and tidy
Easy view water window to boil just the amount you need
Brand Morphy Richards
Model Number 104407
Colour Cream
Product Dimensions 23 x 17 x 25 cm; 1.09 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240 Volts
Material Stainless Steel
Auto Shutoff No
Special Features Water_Filter
Item Weight 1.09 kg
","Morphy Richards Jug Kettle Evoke Jug Kettle 104407 Electric Kettle Cream
Large 1.5L capacity, so you can make up to 6 drinks at a time
Anti limescale kettle filter to ensure a quality hot drink
3kW kettle element for rapid boil with 360° base for left and right hand use
Cord storage feature to keep your worktop safe and neat and tidy
Easy view water window to boil just the amount you need
","Brand Morphy Richards
Model Number 104407
Colour Cream
Product Dimensions 23 x 17 x 25 cm; 1.09 Kilograms
Capacity 1.5 litres
Volume Capacity 1.5 litres
Power / Wattage 3000 watts
Voltage 240 Volts
Material Stainless Steel
Auto Shutoff No
Special Features Water_Filter
Item Weight 1.09 kg
",metal,cream,1.09kg,1.5L,23,17,25,filter
"De'Longhi Distinta X Design 1.7L Rapid Boil Metal Kettle, Stainless Steel, Anti-Limescale Filter, Cord Storage KBI3001.M - Brushed Steel
Elegant Brushed Steel Finish - A Timeless classic finish and elegant design with a touch of Italian minimalist styling.
Stainless Steel Body with Chrome Details & Matching 360° Swivel Base with Cord Storage
Rapid Boil, Large 1.7L Capacity, Anti-Limescale Filter and 3-Level Safety Protection
Matching Four Slot Toaster and Coffee Machines available
Brand De'Longhi
Model Number KBI3001.M
Colour Silver
Product Dimensions 18 x 22.5 x 25 cm; 1.84 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Item Weight 1.84 kg
","De'Longhi Distinta X Design 1.7L Rapid Boil Metal Kettle, Stainless Steel, Anti-Limescale Filter, Cord Storage KBI3001.M - Brushed Steel
Elegant Brushed Steel Finish - A Timeless classic finish and elegant design with a touch of Italian minimalist styling.
Stainless Steel Body with Chrome Details & Matching 360° Swivel Base with Cord Storage
Rapid Boil, Large 1.7L Capacity, Anti-Limescale Filter and 3-Level Safety Protection
Matching Four Slot Toaster and Coffee Machines available
","Brand De'Longhi
Model Number KBI3001.M
Colour Silver
Product Dimensions 18 x 22.5 x 25 cm; 1.84 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Item Weight 1.84 kg
",metal,other,1.84kg,1.7L,18,22.5,25,brush;filter
